Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,008050,1927,11,25.5,Y
IDCJAC0002,008050,1927,12,31.1,Y
IDCJAC0002,008050,1928,01,29.5,Y
IDCJAC0002,008050,1928,02,29.8,Y
IDCJAC0002,008050,1928,03,27.8,Y
IDCJAC0002,008050,1928,04,26.0,Y
IDCJAC0002,008050,1928,05,24.2,Y
IDCJAC0002,008050,1928,06,21.4,Y
IDCJAC0002,008050,1928,07,19.8,Y
IDCJAC0002,008050,1928,08,20.6,Y
IDCJAC0002,008050,1928,09,20.8,Y
IDCJAC0002,008050,1928,10,21.5,Y
IDCJAC0002,008050,1928,11,25.4,Y
IDCJAC0002,008050,1928,12,26.6,Y
IDCJAC0002,008050,1929,01,30.4,Y
